                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.57678,                 1.3459,                 1.1164,                0.03574,                0.16036,                0.04803,                0.03598,                 0.9859,                 5.1992,                 1.4682,              0.0096634,              0.0096634,              0.0096634
                     36,                0.58349,                 1.3535,                 1.1182,                0.61026,                0.08425,                0.12007,                0.10017,                0.57033,                 4.5856,                 1.1538,              0.0096535,              0.0096535,              0.0096535
                     37,                0.57526,                 1.3236,                 1.1149,                0.53906,                0.25281,                0.31593,                0.26129,                0.66605,                 3.4602,                 1.2521,              0.0096436,              0.0096436,              0.0096436
                     38,                0.58266,                 1.3384,                 1.1211,                0.52061,                0.08441,                0.13607,                0.10929,                  0.767,                 4.4699,                 1.3438,              0.0096337,              0.0096337,              0.0096337
                     39,                0.57543,                 1.3135,                 1.1151,                0.85418,                0.74173,                0.85916,                0.77606,                 0.3991,                 0.8891,                 1.0127,              0.0096238,              0.0096238,              0.0096238
                     40,                   0.58,                 1.3229,                 1.1212,                0.88859,                 0.7723,                0.87936,                0.81062,                0.36295,                0.76551,                0.98163,              0.0096139,              0.0096139,              0.0096139
                     41,                0.57621,                 1.3004,                 1.1143,                0.59128,                 0.3718,                0.43502,                0.37216,                0.56526,                 2.5178,                 1.1475,               0.009604,               0.009604,               0.009604
                     42,                0.57644,                 1.2895,                   1.11,                0.52648,                0.23133,                 0.2831,                0.24119,                 0.5758,                 3.5029,                 1.1671,              0.0095941,              0.0095941,              0.0095941
                     43,                0.57388,                 1.2892,                 1.1131,                0.51803,                0.20769,                0.25042,                0.21599,                0.52249,                 3.5914,                 1.1328,              0.0095842,              0.0095842,              0.0095842
                     44,                0.57469,                 1.2833,                 1.1142,                0.89236,                0.75825,                0.87869,                0.80496,                0.36609,                 0.7463,                 0.9894,              0.0095743,              0.0095743,              0.0095743
                     45,                0.57451,                 1.2861,                 1.1126,                0.87611,                0.76936,                0.87404,                0.81212,                0.33875,                0.76009,                0.96776,              0.0095644,              0.0095644,              0.0095644
                     46,                0.57446,                 1.2734,                 1.1123,                0.90466,                0.79875,                0.89941,                0.83638,                0.33689,                0.67104,                0.96163,              0.0095545,              0.0095545,              0.0095545
                     47,                0.57293,                  1.278,                 1.1148,                0.62735,                0.28822,                0.35993,                0.31477,                0.49386,                 3.2286,                 1.0949,              0.0095446,              0.0095446,              0.0095446
                     48,                0.57345,                 1.2672,                  1.111,                0.61818,                0.15996,                0.21485,                 0.1873,                0.53883,                 4.1812,                 1.1424,              0.0095347,              0.0095347,              0.0095347
                     49,                0.56653,                 1.2452,                 1.1077,                0.59885,                0.27271,                0.35076,                0.29832,                0.56761,                 3.2617,                 1.1611,              0.0095248,              0.0095248,              0.0095248
                     50,                0.56605,                 1.2539,                 1.1107,                0.93371,                0.82944,                0.92165,                0.85562,                0.32693,                0.56356,                0.95801,              0.0095149,              0.0095149,              0.0095149
                     51,                0.56867,                 1.2459,                  1.112,                0.53289,                0.22374,                0.28053,                0.22972,                0.65495,                 3.4941,                 1.2452,               0.009505,               0.009505,               0.009505
                     52,                0.56822,                  1.236,                 1.1086,                0.56286,                0.26454,                0.32379,                0.28093,                0.49104,                 3.3505,                 1.1069,              0.0094951,              0.0094951,              0.0094951
                     53,                0.56752,                 1.2396,                 1.1093,                0.90107,                0.79739,                 0.9031,                0.84115,                0.32627,                0.64589,                0.95552,              0.0094852,              0.0094852,              0.0094852
                     54,                0.56561,                 1.2349,                 1.1099,                0.58889,                0.33437,                0.40722,                0.34876,                0.53822,                 2.7751,                 1.1416,              0.0094753,              0.0094753,              0.0094753
                     55,                0.56743,                 1.2347,                  1.112,                0.63705,                0.11419,                0.17641,                0.14724,                0.57138,                 4.1659,                 1.1694,              0.0094654,              0.0094654,              0.0094654
                     56,                0.56506,                 1.2163,                 1.1087,                0.57674,                0.19193,                0.26909,                0.23028,                 0.5703,                 3.6698,                 1.1683,              0.0094555,              0.0094555,              0.0094555
                     57,                0.56251,                 1.2182,                 1.1074,                0.61148,                0.10814,                0.17723,                0.13854,                0.77816,                 4.1721,                 1.3294,              0.0094456,              0.0094456,              0.0094456
                     58,                0.56141,                 1.2146,                 1.1034,                0.91461,                0.82768,                0.91918,                0.85895,                0.31222,                0.56026,                0.94528,              0.0094357,              0.0094357,              0.0094357
                     59,                0.56492,                 1.2182,                 1.1083,                0.60193,                0.17043,                0.23396,                0.19689,                0.50656,                 4.0675,                  1.126,              0.0094258,              0.0094258,              0.0094258
                     60,                0.56217,                 1.2042,                 1.1039,                0.94046,                0.86116,                0.93735,                0.87398,                0.31078,                 0.4689,                0.94555,              0.0094159,              0.0094159,              0.0094159
                     61,                0.56001,                 1.2131,                 1.1068,                0.56289,                0.34856,                0.41937,                0.37066,                0.45552,                 2.8328,                 1.0694,               0.009406,               0.009406,               0.009406
                     62,                0.55655,                 1.1981,                 1.1021,                0.61177,                0.32991,                0.41645,                0.36323,                0.49498,                 2.8872,                 1.0914,              0.0093961,              0.0093961,              0.0093961
                     63,                0.56195,                 1.2041,                 1.1068,                0.62161,                0.40309,                0.50164,                0.45328,                0.37879,                 2.4441,                 1.0081,              0.0093862,              0.0093862,              0.0093862
                     64,                0.56076,                    1.2,                 1.1072,                0.64579,                0.36611,                0.45688,                0.39876,                0.47889,                 2.7798,                 1.0853,              0.0093763,              0.0093763,              0.0093763
                     65,                 0.5549,                 1.1803,                 1.0994,                0.61679,                0.39617,                0.46596,                0.38934,                0.59046,                 2.7224,                 1.1809,              0.0093664,              0.0093664,              0.0093664
                     66,                0.55888,                 1.1888,                 1.1042,                0.94959,                0.87088,                0.94338,                0.88629,                0.29175,                0.43407,                0.93192,              0.0093565,              0.0093565,              0.0093565
                     67,                0.56044,                 1.1864,                 1.1028,                0.59557,                0.28707,                0.35356,                0.29971,                0.52832,                 3.3224,                 1.1303,              0.0093466,              0.0093466,              0.0093466
                     68,                0.56274,                 1.1933,                 1.1082,                 0.5285,                0.19399,                0.23932,                0.19929,                0.58502,                 3.7132,                 1.1728,              0.0093367,              0.0093367,              0.0093367
                     69,                0.55504,                 1.1684,                 1.0998,                0.60566,                 0.4154,                0.49438,                 0.4399,                0.40273,                 2.3707,                  1.028,              0.0093268,              0.0093268,              0.0093268
                     70,                0.55465,                 1.1693,                  1.104,                0.96043,                0.88951,                 0.9547,                0.89652,                0.29047,                0.38792,                  0.929,              0.0093169,              0.0093169,              0.0093169
                     71,                0.55222,                 1.1587,                 1.0988,                0.95942,                0.89402,                0.95613,                0.90118,                0.28259,                0.37882,                0.92468,               0.009307,               0.009307,               0.009307
                     72,                0.55868,                 1.1779,                 1.1055,                 0.5853,                0.34214,                0.42066,                0.35922,                0.52644,                 2.8186,                 1.1287,              0.0092971,              0.0092971,              0.0092971
                     73,                 0.5515,                 1.1631,                 1.0996,                0.59648,                0.30921,                0.37462,                0.33319,                0.42526,                  3.266,                 1.0575,              0.0092872,              0.0092872,              0.0092872
                     74,                0.55384,                 1.1575,                 1.1004,                0.95767,                0.89024,                0.95422,                0.89963,                0.28079,                0.38492,                0.92162,              0.0092773,              0.0092773,              0.0092773
                     75,                0.55686,                 1.1721,                 1.1036,                0.60197,                0.30228,                0.37827,                0.32811,                 0.4796,                 3.0681,                 1.0899,              0.0092674,              0.0092674,              0.0092674
                     76,                0.55264,                 1.1585,                 1.0975,                0.77431,                0.62081,                0.73774,                0.65754,                0.41815,                 1.3772,                 1.0222,              0.0092575,              0.0092575,              0.0092575
                     77,                0.55302,                 1.1721,                 1.1006,                0.78065,                0.62458,                0.73608,                 0.6476,                 0.4522,                 1.3501,                 1.0503,              0.0092476,              0.0092476,              0.0092476
                     78,                0.55202,                 1.1522,                 1.0994,                0.95888,                0.89484,                0.95619,                0.90109,                0.28222,                0.37546,                0.92275,              0.0092377,              0.0092377,              0.0092377
